Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
mask.tif,1,1,187,136,301,63.11269837220809,21.07043300916983,18.23401547461557,0.9496047145286036,1.155556385180377,7.0,1.88
mask.tif,1,2,636,764,375,69.94112549695429,23.017092696365022,20.772140921763604,0.9633318033967716,1.108075127309064,8.0,3.38
mask.tif,1,3,607,716,303,63.112698372208094,20.867322515147237,18.51248060214129,0.9559143804058696,1.1272029375000971,9.0,4.06
mask.tif,1,4,615,745,429,75.94112549695427,25.894370025216688,21.100227348579125,0.934787932823966,1.2272081052700314,4.0,2.96
mask.tif,1,5,491,916,325,65.11269837220809,20.73043568047721,20.12021303545944,0.9633006157126078,1.0303288361779437,8.0,2.78
mask.tif,1,6,558,435,263,61.35533905932738,23.69814267589829,14.202795710838895,0.8779320254916445,1.668554780226332,5.0,3.27
mask.tif,1,7,666,592,313,63.698484809834994,20.29980338691914,19.639000458633216,0.9693843357659736,1.0336474827055386,10.0,3.26
mask.tif,1,8,146,114,310,62.87005768508881,22.087754041612097,17.886763941833642,0.985561750397636,1.2348658546308178,9.0,4.8
mask.tif,1,9,142,77,319,64.2842712474619,22.3376697499689,18.221459924969327,0.9700432482666947,1.2258990136876478,9.0,3.37
mask.tif,1,10,608,500,270,60.2842712474619,22.00045455608268,15.711429769083438,0.9336102210116388,1.400283416559238,3.0,2.53
mask.tif,1,11,709,669,283,60.8700576850888,21.911851727193188,16.4413588553858,0.9598179616791476,1.3327275391240172,6.0,2.98
mask.tif,1,12,714,735,389,73.59797974644667,23.512518220311343,21.146861970111697,0.9024594126367056,1.1118679572195247,7.0,3.25
mask.tif,1,13,588,487,276,60.52691193458119,21.31914438894196,16.488017498922165,0.9467207855389664,1.2930083553305065,9.0,6.51
mask.tif,1,14,183,85,209,52.04163056034261,17.588914594813005,15.139188979921943,0.969737877846126,1.1618135303112975,9.0,4.56
mask.tif,1,15,962,774,421,74.18376618407356,24.096689506682857,22.252784313930142,0.9613337818786156,1.0828617743622506,10.0,2.52
mask.tif,1,16,1004,232,203,52.87005768508881,18.85417885450458,13.796662274891151,0.9126123328302728,1.3665753701036598,5.0,4.79
mask.tif,1,17,592,587,310,62.87005768508881,21.7620088357829,18.191223471489863,0.985561750397636,1.1962916551428957,10.0,5.54
mask.tif,1,18,601,608,349,68.5269119345812,23.146849729081463,19.288804938075387,0.9339270796611434,1.200014713373478,6.0,5.15
mask.tif,1,19,113,93,256,58.2842712474619,20.509989675964228,15.90776918259882,0.9469936960111623,1.2893064665785872,7.0,2.44
mask.tif,1,20,962,595,252,58.2842712474619,21.398212329848967,15.017948651511912,0.9321969195109882,1.4248425551578063,6.0,2.85
mask.tif,1,21,168,154,193,49.21320343559643,17.49824247191696,14.081068472229306,1.001391503102227,1.2426786011606297,5.0,7.06
mask.tif,1,22,654,571,314,65.698484809835,23.285262831089284,17.248406218460836,0.9141738725585112,1.3499950393194733,8.0,2.22
mask.tif,1,23,889,541,332,65.94112549695427,22.442991824931504,18.877965585096263,0.959478476183185,1.1888458914582274,8.0,2.07
mask.tif,1,24,717,689,264,57.45584412271572,20.10654415788516,16.72226469078916,1.0049521225536395,1.2023816468447666,9.0,4.62
mask.tif,1,25,863,784,317,64.52691193458118,20.513437494489978,19.707631364629624,0.9567255298702668,1.0408880253010302,10.0,2.33
mask.tif,1,26,204,168,371,71.35533905932738,24.89718847540801,19.14541161489905,0.9156527949710024,1.3004258658002892,10.0,2.79
mask.tif,1,27,209,128,190,49.21320343559643,17.67700195208035,13.71165065770714,0.9858258320695495,1.2891957644898384,5.0,2.57
mask.tif,1,28,342,313,375,71.94112549695427,25.218832416173576,19.007893635377947,0.910514100644643,1.326755762628831,9.0,4.72
mask.tif,1,29,83,912,208,50.62741699796952,17.78934634435468,14.87780453841219,1.0197686539897808,1.1956970061291865,9.0,3.46
mask.tif,1,30,940,578,316,64.8700576850888,24.86441074471248,16.18195335706591,0.9436444248589284,1.536551873316044,4.0,3.43
mask.tif,1,31,932,646,247,57.4558441227157,19.188462137237845,16.4783158963179,0.9402392964801102,1.1644674284661294,7.0,2.7
mask.tif,1,32,725,707,256,57.4558441227157,18.643803971036856,17.499250242122525,0.9744990279308025,1.0654058724275668,10.0,3.93
mask.tif,1,33,896,750,316,63.698484809834994,21.72913852366996,18.539692553301222,0.978675559431462,1.1720333797984592,9.0,3.16
mask.tif,1,34,609,635,327,66.2842712474619,24.337403769595813,17.114651283677965,0.9352692267863204,1.4220215981149495,4.0,3.7
mask.tif,1,35,884,812,414,73.94112549695429,25.23830421490556,20.90711128037244,0.9515641929573856,1.2071636237283163,7.0,1.97
mask.tif,1,36,687,750,328,66.76955262170047,22.641554035451623,18.54566468715526,0.9245422768648576,1.2208542760472303,5.0,2.75
mask.tif,1,37,904,571,293,61.698484809834994,21.78867804045212,17.168461038078895,0.9672271682581612,1.2691107253076317,7.0,5.56
mask.tif,1,38,915,592,384,72.76955262170047,25.73756384020068,19.175114404683637,0.9112586808053296,1.3422378243497797,5.0,2.98
mask.tif,1,39,627,514,217,54.2842712474619,19.765347247443994,14.100200040875086,0.9253831217486892,1.4017777896871113,5.0,3.53
mask.tif,1,40,605,669,231,56.2842712474619,18.452263607953235,16.005731643728236,0.916321231049839,1.1528534914043531,7.0,3.27
mask.tif,1,41,619,697,423,76.76955262170047,28.671812888977374,18.81991006600505,0.9019287108287914,1.5234829915987802,5.0,3.41
