1,70,9,97.628,0,116.82,113,0.96727,6.4586,30.894,69.404,99.17,131.16,82.656,42.74,2,2,3,0.99991,0.89434,0.2989,0.33185,0.63125,0.36752,0.99981,0.99981,0.99987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,254,1,90,0,34,34,1,3.7473,33.489,43.488,61.293,85.669,55.985,22.888,1,3,5,0.97351,0.86197,0.41958,0.55474,0.70245,0.25868,1,0.78259,0.79034,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,277,13,136.27,0,32.672,31.828,0.97416,4.85,21.703,34.415,52.44,74.994,45.888,23.142,1,3,9,0.83814,0.81006,0.8464,0.63945,0.78351,0.097293,1,0.78259,0.68236,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,428,11,111.8,0,57.009,53.852,0.94462,5.9364,22.976,42.495,59.9,93.55,54.73,29.954,1,3,6,0.99636,0.97902,0.89131,0.88293,0.9374,0.058596,1,0.99007,0.98136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,336,16,115.07,0,71.406,68.447,0.95856,6.2208,29.336,39.321,51.786,69.768,47.553,17.427,1,3,8,0.95333,0.91287,0.86749,0.8797,0.90335,0.038444,1,0.92913,0.86931,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,284,29,123.06,0,78.621,75.166,0.95606,3.8409,24.24,34.148,47.496,67.43,43.328,18.681,1,4,10,0.99918,0.74627,0.82464,0.61567,0.79644,0.16031,1,0.80758,0.84715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,366,42,106.49,0,196.84,186.68,0.94839,5.907,24.662,30.923,41.074,59.857,39.129,15.385,1,5,12,0.93704,0.94332,0.92429,0.88379,0.92211,0.026746,1,0.95417,0.93688,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,405,25,116.81,0,113.5,104.2,0.91806,6.3314,24.743,32.625,46.055,74.486,44.477,21.855,1,3,9,0.98511,0.977,0.9155,0.88421,0.94046,0.048701,1,0.99007,0.90075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,354,22,88.919,0,64.994,53.009,0.81561,5.1939,21.149,33.095,48.661,65.952,42.214,19.425,1,3,9,0.98882,0.98853,0.97479,0.90412,0.96407,0.040499,1,0.92913,0.9327,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,79,24,96.52,3,36.948,35.228,0.95344,3.9599,24.043,57.777,84.943,116.34,70.777,39.286,2,3,3,0.99998,0.89003,0.29608,0.33005,0.62903,0.36786,0.99981,0.99987,0.99987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,109,30,97.292,0,222.71,212.72,0.95514,7.0994,37.444,52.946,71.345,97.521,64.814,25.835,1,2,4,0.99981,0.89299,0.29802,0.44262,0.65836,0.3406,1,0.99991,0.90996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
