        Mean	  96.42
      Median	  105.94
    Variance	   0.64
     Std Dev	   1.14
Coef of Alignment	   0.36
    Skewness	   0.25
    Kurtosis	   0.15
   Omni Test	   0.00
  red pixels	   0.00
yellow pixels	  60.00
green pixels	  148.00
total pixels	  262144.00
