        Mean	  118.70
      Median	  118.59
    Variance	   0.41
     Std Dev	   0.90
Coef of Alignment	   0.59
    Skewness	  -0.08
    Kurtosis	   0.25
   Omni Test	   0.00
  red pixels	  267.00
yellow pixels	  873.00
green pixels	  1247.00
total pixels	  262144.00
