Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
mask.tif,1,1,540,825,317,66.2842712474619,23.66794629756553,17.12342702435439,0.9066677213800108,1.3821968151528878,4.0,2.91
mask.tif,1,2,82,612,266,58.2842712474619,19.493412414938472,17.386530880560176,0.9839856372615984,1.1211789487420971,5.0,3.25
mask.tif,1,3,924,516,371,69.35533905932738,21.95528545716085,21.551715395564536,0.9692235883934752,1.018725658454054,1.0,4.14
mask.tif,1,4,907,268,498,81.01219330881975,25.68567109240877,24.74039233276573,0.9535389244719064,1.038207913073033,1.0,3.0
mask.tif,1,5,52,223,309,63.698484809834994,22.16246259752558,17.799319755570345,0.956996037545322,1.2451297522530196,10.0,2.44
mask.tif,1,6,855,930,388,71.94112549695429,24.27812327022152,20.53948969025016,0.9420785894669902,1.1820217364867662,4.0,3.52
mask.tif,1,7,670,79,481,80.18376618407356,25.90409004036014,23.85714180700803,0.9401172867371498,1.085800229126811,9.0,3.49
mask.tif,1,8,67,968,435,76.18376618407356,23.952828294069363,23.25654110688253,0.9418337393145108,1.029939412915568,4.0,2.59
mask.tif,1,9,391,312,498,82.18376618407356,27.78751836766765,23.18315692096979,0.9265463034488378,1.198608043865376,3.0,3.32
mask.tif,1,10,137,730,384,71.35533905932738,23.35794778607899,21.032052858554483,0.9477376637974796,1.1105881077404427,3.0,3.78
mask.tif,1,11,950,324,339,65.698484809835,21.57688081101001,20.034888784434457,0.9869584165520232,1.076965339971019,3.0,6.6
mask.tif,1,12,875,929,425,76.18376618407356,26.73033292565463,20.32587784053033,0.9201823889854416,1.3150887324705671,8.0,2.23
mask.tif,1,13,352,134,374,70.76955262170047,24.17688569190912,19.707028833690025,0.93840122466311,1.2268153609527217,7.0,3.62
mask.tif,1,14,784,670,1487,142.95331880577402,47.54771669153424,39.83914203292213,0.914391852580524,1.1934924866665533,4.0,1.66
mask.tif,1,15,77,245,502,81.01219330881976,26.55191941238924,24.08411720869864,0.9611978716564192,1.1024659605459524,7.0,3.25
mask.tif,1,16,667,179,549,85.01219330881975,27.61672252684988,25.346331889634644,0.954596343030503,1.0895747221768095,4.0,2.31
mask.tif,1,17,48,336,286,62.52691193458119,19.6670317999886,18.586854207655243,0.9192675638675124,1.0581151377347366,4.0,1.83
mask.tif,1,18,212,151,305,63.698484809834994,19.94358630299532,19.60801883746869,0.9446077393246708,1.0171137873901566,1.0,2.72
mask.tif,1,19,899,174,1295,133.39696961967,43.749474482508845,37.89985595693209,0.9145084123372692,1.154344083318523,4.0,2.3
mask.tif,1,20,890,807,341,67.698484809835,22.933675074963507,18.95064822161389,0.934988664602086,1.2101789240542618,3.0,3.82
mask.tif,1,21,547,883,459,78.76955262170047,25.769435689811147,22.92824899297405,0.9296207132245512,1.123916427185858,5.0,3.29
mask.tif,1,22,570,281,427,76.5269119345812,26.932593132377423,20.27331345788596,0.9162402402049404,1.328475149773858,2.0,4.74
mask.tif,1,23,971,861,425,78.42640687119285,26.932240193077664,20.33031505301111,0.8683087106964872,1.3247330463326366,9.0,2.13
mask.tif,1,24,735,267,363,68.5269119345812,22.02143384026123,21.029935953413503,0.9713912032005588,1.0471469760556638,1.0,4.89
mask.tif,1,25,122,502,376,71.35533905932738,23.907401862683148,20.067229973086544,0.927993129135032,1.1913653202134478,5.0,2.86
