1,334,17,111.67,0,87.188,83.934,0.96269,4.7501,53.373,71.758,86.259,109.1,80.122,23.542,1,2,2,0.96413,0.9807,0.9685,0.97279,0.97153,0.0070625,1,0.98832,0.98832,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,42,20,121.29,0,63.54,59.682,0.93929,5.7204,33.838,51.146,71.041,120.55,69.143,37.489,1,2,4,0.99437,0.99231,0.9672,0.97749,0.98284,0.012854,1,0.98494,0.9789,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,113,28,115.1,0,133.9,122.58,0.91542,3.1901,38.386,54.854,69.77,98.719,65.432,25.627,2,2,4,0.95607,0.96596,0.97254,0.97651,0.96777,0.0089293,0.99212,0.99212,0.97507,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,123,30,122.3,3,108.45,102.93,0.94912,4.2323,39.132,57.976,73.371,98.824,67.326,25.239,2,2,3,0.99396,0.99242,0.97851,0.97795,0.98571,0.0086634,0.99212,0.99212,0.98277,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,251,8,118.3,1,30.734,29.53,0.96082,3.8091,76.79,90.038,112.93,137.08,104.21,26.515,1,1,1,0.99709,0.96943,0.97496,0.97639,0.97947,0.012123,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,433,27,125.84,0,91.891,88.814,0.96651,4.9441,27.959,37.71,59.952,90.419,54.01,27.721,1,4,6,0.99376,0.98917,0.91515,0.90807,0.95154,0.046232,1,0.96494,0.97265,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,35,40,111.34,0,71.154,68.71,0.96564,4.875,26.874,40.558,63.338,112.77,60.885,37.718,1,3,5,0.96108,0.95378,0.97121,0.97061,0.96417,0.0083351,1,0.97355,0.96122,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,498,39,144.73,4,51.445,50.22,0.97619,4.1845,53.54,57.926,78.145,114,75.902,27.565,1,1,4,0.99967,0.96501,0.91161,0.8719,0.93705,0.056555,1,1,0.86191,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,442,56,114.33,0,137.9,126.21,0.9152,4.6534,12.661,24.707,43.537,74.992,38.974,27.166,2,5,8,0.99969,0.96387,0.91855,0.90009,0.94555,0.044953,0.99068,0.97109,0.91836,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,344,38,102.91,2,52.247,49.244,0.94254,3.7452,47.879,63.742,76.293,94.757,70.668,19.826,1,2,2,0.99965,0.99415,0.97564,0.94465,0.97852,0.024804,1,0.98832,0.98832,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,57,64,105.26,0,117.33,114.02,0.9718,4.7996,25.766,33.696,49.699,90.458,49.905,28.81,1,3,7,0.99935,0.96646,0.98025,0.974,0.98001,0.014068,1,0.99612,0.96758,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,420,49,107.93,0,38.659,35.735,0.92437,4.0682,24.193,28.004,49.827,75.988,44.503,23.836,1,4,6,0.99068,0.97135,0.97541,0.90019,0.95941,0.040344,1,0.96494,0.97583,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,444,57,106.5,0,59.478,56.321,0.94691,4.4059,13.767,25.855,43.546,75.253,39.605,26.727,2,4,8,0.99376,0.97509,0.9268,0.90067,0.94908,0.042866,0.99068,0.96494,0.91836,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,63,82,109.27,0,139.57,130.3,0.93358,5.0853,21.997,31.464,48.329,83.227,46.254,26.947,1,4,10,0.95344,0.95471,0.97005,0.97144,0.96241,0.0096527,1,0.95095,0.97085,NaN,NaN,NaN,NaN,NaN,NaN,NaN
