1,26,5,81.384,0,34.402,33.377,0.97018,4.3419,34.709,44.078,66.227,128.49,68.376,42.199,2,2,6,0.70864,0.47255,0.50491,0.54457,0.55767,0.10487,0.071649,0.071649,0.41387,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,41,17,167.28,0,39.385,31.78,0.80693,4.5748,25.177,34.111,52.642,114.2,56.532,40.11,2,4,8,0.75453,0.40266,0.35206,0.471,0.49506,0.17971,0.071649,0.51565,0.3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,392,6,106.19,0,35.888,32.28,0.89948,4.8009,17.003,28.765,49.271,74.604,42.411,25.267,2,4,7,0.27194,0.040464,0.21044,0.46498,0.24696,0.17525,0.99958,0.17984,0.18405,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,403,8,104.53,0,66.258,55.785,0.84194,4.6449,14.59,27.676,49.22,72.009,40.874,25.193,2,4,8,0.29962,0.054665,0.35114,0.46801,0.29336,0.17403,0.99958,0.17984,0.47856,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,372,22,11.041,0,47.021,41.773,0.88839,5.274,28.435,31.265,43.751,72.219,43.917,20.007,1,4,9,0.29962,0.56435,0.4141,0.35572,0.40845,0.11396,1,0.17984,0.2649,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,179,23,8.1301,3,43.119,42.426,0.98393,3.9592,31.03,56.653,81.927,114.56,71.043,35.685,1,2,3,0.93841,0.64221,0.62565,0.15217,0.58961,0.3251,1,0.81432,0.70282,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,158,16,152.65,0,41.158,32.65,0.79329,4.1704,39.493,50.803,74.31,113.55,69.538,32.727,1,2,5,0.56361,0.56464,0.47034,0.21021,0.4522,0.16728,1,0.81432,0.6278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,403,26,178.75,0,49.177,46.011,0.93562,4.7168,20.413,26.331,41.412,63.567,37.931,19.242,1,5,10,0.99958,0.47615,0.59462,0.57327,0.66091,0.23159,1,0.21007,0.47394,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,479,15,81.674,0,44.135,41.437,0.93886,6.1029,30.156,41.93,57.475,78.02,51.895,20.701,1,2,7,0.99999,0.54362,0.30747,0.43178,0.57071,0.302,1,0.99641,0.54164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,62,40,122.4,0,65.328,61.587,0.94274,4.2016,15.745,24.878,43.416,97.809,45.462,36.747,2,4,8,0.97561,0.28241,0.34175,0.46271,0.51562,0.3157,0.96344,0.72037,0.3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,96,20,152.18,0,42.1,40.706,0.9669,4.1854,17.151,29.254,48.609,103.67,49.67,38.258,2,3,7,0.10087,0.48081,0.28546,0.45051,0.32941,0.17488,0.62151,0.39754,0.53904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,98,32,23.749,0,30.631,27.313,0.89167,4.9439,12.447,25.405,47.632,98.81,46.073,38.041,3,3,7,0.8421,0.8418,0.47789,0.54526,0.67676,0.19272,0.39754,0.39754,0.53904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,89,41,119.54,0,37.264,34.482,0.92533,4.6765,17.432,22.759,46.998,95.556,45.686,35.65,2,5,7,0.62151,0.38708,0.35253,0.46735,0.45712,0.11968,0.10087,0.49282,0.37226,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,490,33,86.532,0,34.039,33.061,0.97125,5.5011,25.853,32.477,49.257,73.385,45.243,21.19,1,4,7,0.99673,0.39855,0.55605,0.43647,0.59695,0.27484,1,0.55991,0.54164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,5,56,3.1798,0,36.902,36.056,0.97705,3.7771,54.115,55.932,75.614,123.27,77.234,32.201,1,1,5,0.071649,0.51565,0.45057,0.46646,0.37608,0.20484,1,1,0.30318,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,60,44,106.86,0,41.422,34.482,0.83245,5.4095,16.813,26.623,44.964,97.61,46.503,36.014,2,4,8,0.99875,0.3973,0.40595,0.49213,0.57353,0.28669,0.96344,0.72037,0.3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,296,54,63.435,0,58.299,46.957,0.80546,3.6252,45.825,52.852,64.263,84.34,61.82,16.826,1,1,5,0.96893,0.2165,0.13386,0.18221,0.37538,0.39715,1,1,0.25913,NaN,NaN,NaN,NaN,NaN,NaN,NaN
