1,1059,144,100.87,0,133.12,127.28,0.95618,4.2197,73.428,109.36,179.58,265.92,157.07,84.905,1,1,2,0.69585,0.59727,0.6814,0.68811,0.66566,0.04597,1,1,0.014326,142.97,0,67.022,NaN,NaN,173,919
2,1026,147,11.689,0,30.245,29.614,0.97913,2.9668,67.485,109.3,183.64,272.44,158.21,90.033,1,1,2,0.70815,0.849,0.87237,0.76139,0.79773,0.076475,1,1,0.014326,110.11,0,23.799,NaN,NaN,173,919
13,1308,219,112.33,1,62.831,60.539,0.96353,2.9263,181.49,186.87,193.87,215.18,194.35,14.783,1,1,1,0.98454,0.52832,0.70425,0.42509,0.66055,0.24482,1,1,1,10.05,1,9.579,NaN,NaN,209,1309
15,879,230,98.471,1,48.757,47.518,0.9746,3.719,152.01,176.16,227.1,292.82,212.02,62.298,1,1,1,0.69585,0.46675,0.5742,0.69085,0.60691,0.10904,1,1,1,50.99,1,46.734,NaN,NaN,208,925
18,1013,248,145.78,2,32.092,30.232,0.94205,4.1325,79.598,93.687,150.77,220.97,136.26,64.315,1,1,2,0.98989,0.49005,0.69591,0.67182,0.71192,0.20685,1,1,0.94698,36.401,0,14.281,NaN,NaN,277,991
21,1496,283,154.26,0,63.742,62.169,0.97533,4.5095,26.265,62.209,108.95,177.01,93.609,65.096,2,2,3,0.97517,0.9722,0.19425,0.14473,0.57159,0.46474,0.7468,0.7468,0.698,32.016,0,9.0763,NaN,NaN,291,1465
23,1069,296,127.04,3,140.09,132.8,0.94795,4.4935,51.878,97.241,133.35,183.75,116.55,55.839,1,2,3,0.89182,0.84068,0.6982,0.65833,0.77226,0.11171,1,0.98989,0.92423,17.72,0,44.449,NaN,NaN,313,1074
24,1494,275,15.945,0,31.333,29.12,0.92938,3.2917,30.358,67.869,114.88,182.23,98.836,65.475,2,2,3,0.58098,0.70675,0.11141,0.20753,0.40167,0.28704,0.7468,0.7468,0.698,33.106,0,41.556,NaN,NaN,289,1464
27,1093,278,118.89,2,34.01,33.121,0.97386,3.9525,57.72,95.105,127.78,183.39,116,53.269,1,2,2,0.94698,0.84751,0.70215,0.66131,0.78949,0.13194,1,0.98989,0.98989,34,0,25.732,NaN,NaN,312,1093
32,1501,327,28.74,0,36.406,35.355,0.97113,4.866,42.241,54.04,87.584,150.92,83.695,48.757,1,1,5,0.68586,0.7323,0.38224,0.26789,0.51707,0.22737,1,1,0.76508,5,0,55.631,NaN,NaN,332,1501
43,1505,367,20.956,0,53.132,50.329,0.94724,4.6901,42.622,58.135,80.251,132.43,78.359,39.213,1,1,4,0.81835,0.65999,0.32718,0.24364,0.51229,0.27198,1,1,0.86277,34.482,1,78.384,NaN,NaN,334,1515
49,1444,382,33.465,0,88.042,70.725,0.8033,4.2174,59.711,61.078,71.475,116.69,77.239,26.821,1,1,7,0.97352,0.48053,0.18035,0.29964,0.48351,0.3492,1,1,0.089383,44.654,1,50.757,NaN,NaN,345,1469
50,1178,372,131.91,4,54.972,52.402,0.95325,3.3849,43.138,55.312,88.387,141.89,82.182,44.16,1,1,4,0.98454,0.98974,0.91705,0.84482,0.93404,0.068073,1,1,0.97399,7.0711,0,11.704,NaN,NaN,377,1173
52,1223,374,114.9,0,33.069,30.871,0.93354,3.6663,15.637,32.681,85.092,134.21,66.906,53.731,2,3,5,0.99272,0.98531,0.87695,0.73801,0.89825,0.11921,0.98454,0.98922,0.97904,24.352,0,38.395,NaN,NaN,366,1246
53,1218,382,124.99,0,39.732,36.62,0.92167,4.6126,11.236,28.832,79.272,131.55,62.723,54.193,3,3,5,0.99847,0.9748,0.83284,0.73233,0.88461,0.12513,0.98922,0.98922,0.97904,25.942,0,4.2545,NaN,NaN,405,1206
56,456,406,119.2,0,85.867,77.897,0.90718,3.2607,23.325,31.061,51.723,86.177,48.071,28.09,2,2,7,0.9605,0.92581,0.69498,0.62559,0.80172,0.16636,0.99557,0.99557,0.6501,176.14,0,42.067,NaN,NaN,350,623
57,1503,412,173.66,0,57.702,54.332,0.9416,3.1469,49.876,58.928,79.451,117.06,76.328,29.838,1,1,5,0.9536,0.45015,0.24315,0.20727,0.46354,0.34379,1,1,0.48935,74.25,1,83.084,NaN,NaN,345,1471
60,1385,393,117.03,0,60.845,55.009,0.90409,4.1814,43.209,67.597,94.585,126.84,83.059,35.95,1,2,4,0.33628,0.35299,0.18458,0.28024,0.28852,0.075961,1,0.97352,0.53413,96.747,1,32.809,NaN,NaN,345,1469
61,1475,459,3.4336,0,164.48,150.27,0.91361,4.9142,35.995,52.426,72.541,98.924,64.971,27.124,1,2,4,0.3702,0.37813,0.30122,0.23851,0.32202,0.065513,1,0.87535,0.38226,58.694,1,44.498,NaN,NaN,517,1466
63,417,401,132.27,0,46.951,44.598,0.9499,3.4208,25.925,39.029,54.005,87.462,51.605,26.515,2,2,7,0.074171,0.51139,0.70043,0.47574,0.44043,0.26333,0.29787,0.29787,0.69152,212.22,0,28.991,NaN,NaN,350,623
64,411,412,24.944,0,49.4,47.424,0.96,4.9421,27.835,38.353,51.236,82.002,49.856,23.47,2,3,9,0.9931,0.9869,0.76221,0.59141,0.8334,0.19382,0.29787,0.39931,0.57178,220.88,0,43.679,NaN,NaN,350,623
65,546,419,125.54,0,94.811,86.023,0.90731,3.5112,53.618,59.445,72.377,91.166,69.151,16.639,1,1,5,0.6908,0.84252,0.9076,0.885,0.83148,0.097589,1,1,0.8685,101.79,0,20.831,NaN,NaN,363,631
