        Mean	  94.55
      Median	  138.23
    Variance	   0.55
     Std Dev	   1.05
Coef of Alignment	   0.45
    Skewness	   0.00
    Kurtosis	   0.41
   Omni Test	   0.00
  red pixels	  437.00
yellow pixels	  1644.00
green pixels	  1631.00
total pixels	  262144.00
