set ID,condition,set location,tag,note
1,MEF_LMNA--,/Users/wonderzhu/Desktop/Cell_Segmentation_Tools/folder/VAMPIRE_open/Supplementary Data/Example segmented images/MEF_LMNA--,c1,lamin A knockout
2,MEF_wildtype,/Users/wonderzhu/Desktop/Cell_Segmentation_Tools/folder/VAMPIRE_open/Supplementary Data/Example segmented images/MEF_wildtype,c1,wildtype control
