center,angle
[23 73],2.8125
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[ 32 123],177.1875
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[26 78],8.4375
[45 63],177.1875
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[27 76],8.4375
[19 94],177.1875
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
